datetime,date,open,high,low,close,volume,amount,symbol,interval,provider,adjust,market
2024-09-04 00:00:00,2024-09-04,2786.505,2800.607,2781.935,2784.278,25745350000,71682211607300.0,sh000001,1d,akshare,,CN
2024-09-05 00:00:00,2024-09-05,2785.264,2796.019,2777.471,2788.314,24204094800,67488616388167.195,sh000001,1d,akshare,,CN
2024-09-06 00:00:00,2024-09-06,2791.765,2804.093,2765.639,2765.807,25364537500,70153415369262.49,sh000001,1d,akshare,,CN
2024-09-09 00:00:00,2024-09-09,2754.724,2756.556,2726.967,2736.488,26146884700,71550636218933.6,sh000001,1d,akshare,,CN
2024-09-10 00:00:00,2024-09-10,2737.881,2750.118,2718.627,2744.192,26215901500,71941467169088.0,sh000001,1d,akshare,,CN
2024-09-11 00:00:00,2024-09-11,2732.731,2732.731,2710.621,2721.795,24226490000,65939539349550.0,sh000001,1d,akshare,,CN
2024-09-12 00:00:00,2024-09-12,2722.138,2734.683,2716.555,2717.123,24008431500,65233861422574.5,sh000001,1d,akshare,,CN
2024-09-13 00:00:00,2024-09-13,2718.986,2728.78,2703.369,2704.09,25127003800,67945679705542.0,sh000001,1d,akshare,,CN
2024-09-18 00:00:00,2024-09-18,2705.345,2724.114,2689.695,2717.281,24781713200,67338878425809.195,sh000001,1d,akshare,,CN
2024-09-19 00:00:00,2024-09-19,2723.205,2747.74,2697.776,2736.022,31520838900,86241708688855.8,sh000001,1d,akshare,,CN
2024-09-20 00:00:00,2024-09-20,2734.228,2741.155,2717.945,2736.814,28564462700,78175621419837.8,sh000001,1d,akshare,,CN
2024-09-23 00:00:00,2024-09-23,2735.39,2760.48,2731.357,2748.918,25764215400,70823715468937.2,sh000001,1d,akshare,,CN
2024-09-24 00:00:00,2024-09-24,2770.754,2863.152,2761.372,2863.126,47761954500,136748493739767.02,sh000001,1d,akshare,,CN
2024-09-25 00:00:00,2024-09-25,2901.419,2952.451,2889.048,2896.306,56825981600,164585431463969.6,sh000001,1d,akshare,,CN
2024-09-26 00:00:00,2024-09-26,2893.745,3000.953,2889.014,3000.953,57631926100,172950701525573.3,sh000001,1d,akshare,,CN
2024-09-27 00:00:00,2024-09-27,3049.103,3087.529,3017.445,3087.529,49228716300,151995089209022.7,sh000001,1d,akshare,,CN
2024-09-30 00:00:00,2024-09-30,3194.722,3358.588,3153.697,3336.497,110233791700,367794715305674.9,sh000001,1d,akshare,,CN
2024-10-08 00:00:00,2024-10-08,3674.405,3674.405,3372.187,3489.775,131346019500,458368055200612.5,sh000001,1d,akshare,,CN
2024-10-09 00:00:00,2024-10-09,3427.22,3437.157,3249.159,3258.858,99275725600,323525492577364.8,sh000001,1d,akshare,,CN
2024-10-10 00:00:00,2024-10-10,3277.692,3379.805,3228.125,3301.926,83450025700,275545809559498.2,sh000001,1d,akshare,,CN
2024-10-11 00:00:00,2024-10-11,3287.873,3297.752,3187.988,3217.738,60602743300,195003750020655.38,sh000001,1d,akshare,,CN
2024-10-14 00:00:00,2024-10-14,3241.428,3294.62,3203.901,3284.323,63146685900,207394112875145.7,sh000001,1d,akshare,,CN
2024-10-15 00:00:00,2024-10-15,3265.746,3285.215,3201.292,3201.292,56605455800,181210592808893.6,sh000001,1d,akshare,,CN
2024-10-16 00:00:00,2024-10-16,3169.169,3236.848,3167.736,3202.948,51581399700,165212541006315.6,sh000001,1d,akshare,,CN
2024-10-17 00:00:00,2024-10-17,3220.733,3241.568,3169.384,3169.384,52861177200,167537369238844.8,sh000001,1d,akshare,,CN
2024-10-18 00:00:00,2024-10-18,3165.975,3313.978,3152.821,3261.563,69301462300,226031085283574.9,sh000001,1d,akshare,,CN
2024-10-21 00:00:00,2024-10-21,3276.06,3300.664,3239.097,3268.11,66815029900,218358867366489.0,sh000001,1d,akshare,,CN
2024-10-22 00:00:00,2024-10-22,3263.822,3294.961,3255.138,3285.867,57491378100,188909022083312.72,sh000001,1d,akshare,,CN
2024-10-23 00:00:00,2024-10-23,3285.247,3331.082,3277.066,3302.803,65044412800,214828881729078.4,sh000001,1d,akshare,,CN
2024-10-24 00:00:00,2024-10-24,3287.824,3292.945,3266.882,3280.263,51982707400,170516951724046.2,sh000001,1d,akshare,,CN
2024-10-25 00:00:00,2024-10-25,3280.762,3319.357,3276.13,3299.7,59565170700,196547193758790.0,sh000001,1d,akshare,,CN
2024-10-28 00:00:00,2024-10-28,3300.463,3322.198,3279.715,3322.198,67237313100,223375667106193.78,sh000001,1d,akshare,,CN
2024-10-29 00:00:00,2024-10-29,3328.089,3340.458,3284.211,3286.407,72532615400,238371694978867.8,sh000001,1d,akshare,,CN
2024-10-30 00:00:00,2024-10-30,3273.642,3291.68,3244.806,3266.238,66901809000,218517230824542.0,sh000001,1d,akshare,,CN
2024-10-31 00:00:00,2024-10-31,3267.975,3295.742,3252.39,3279.824,78464909400,257351093007945.6,sh000001,1d,akshare,,CN
2024-11-01 00:00:00,2024-11-01,3275.577,3305.318,3258.735,3272.014,85205532000,278793693581448.0,sh000001,1d,akshare,,CN
2024-11-04 00:00:00,2024-11-04,3275.679,3310.207,3263.842,3310.207,66507745400,220154404377297.78,sh000001,1d,akshare,,CN
2024-11-05 00:00:00,2024-11-05,3306.81,3386.987,3302.047,3386.987,82112490200,278113936845027.4,sh000001,1d,akshare,,CN
2024-11-06 00:00:00,2024-11-06,3395.222,3420.999,3367.081,3383.806,89585593000,303140267106958.0,sh000001,1d,akshare,,CN
2024-11-07 00:00:00,2024-11-07,3359.985,3470.661,3356.258,3470.661,95955668000,333029594656548.0,sh000001,1d,akshare,,CN
2024-11-08 00:00:00,2024-11-08,3502.133,3509.818,3443.193,3452.297,96403456200,332813362628891.4,sh000001,1d,akshare,,CN
2024-11-11 00:00:00,2024-11-11,3432.367,3471.122,3416.727,3470.066,81802543600,283860225259877.56,sh000001,1d,akshare,,CN
2024-11-12 00:00:00,2024-11-12,3469.891,3489.424,3402.042,3421.97,81792652400,279892002733227.97,sh000001,1d,akshare,,CN
2024-11-13 00:00:00,2024-11-13,3406.916,3442.298,3404.525,3439.278,67366234800,231691209290474.38,sh000001,1d,akshare,,CN
2024-11-14 00:00:00,2024-11-14,3429.505,3441.775,3376.153,3379.839,63155669000,213455993157291.0,sh000001,1d,akshare,,CN
2024-11-15 00:00:00,2024-11-15,3369.809,3391.32,3330.726,3330.726,63028558300,209930857872325.8,sh000001,1d,akshare,,CN
2024-11-18 00:00:00,2024-11-18,3344.69,3386.903,3309.008,3323.849,74395069200,247277976365350.8,sh000001,1d,akshare,,CN
