tick,entropy,hhi,modularity,phase_changes,coalition_persistence
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,6.079959857233672,1.0
3,0.0,0.0,0.33333333333333337,0.08015639719104067,0.9166666666666666
4,0.0,0.0,0.0,0.020743825415404992,0.08333333333333333
5,0.0,0.0,0.0,0.007200500877203254,1.0
6,0.0,0.0,0.0,0.0028120053217332813,1.0
7,0.0,0.0,0.0,0.0012040648045234404,1.0
8,0.0,0.0,0.0,0.0005716389197299577,1.0
9,0.0,0.0,0.0,0.0002962447796065091,1.0
10,0.0,0.0,0.0,0.00015086183097377467,1.0
11,0.0,0.0,0.0,5.242910097373924e-05,1.0
12,0.0,0.0,0.0,2.6541190359469594e-05,1.0
13,0.0,0.0,0.0,9.188133697216341e-05,1.0
14,0.0,0.0,0.0,0.00014154887669682272,1.0
15,0.0,0.0,0.0,0.00017164208259989888,1.0
16,0.0,0.0,0.0,0.0001792423383118022,1.0
17,0.0,0.0,0.0,0.00016376673046298933,1.0
18,0.0,0.0,0.0,0.0001274346355474882,1.0
