layer,metric,value
path,trend_alignment,1.0
path,turning_point_match,1.0
path,drawdown_gap,0.001964625111516183
path,vol_similarity,0.8
path,response_gap,2.0
path,return_correlation,0.9829447543783626
path,normalized_rmse,0.04
microstructure,avg_intraday_range,0.009865546588702673
microstructure,range_fit,0.9508534678829438
microstructure,volume_fit,0.9656877002686941
microstructure,cancel_rate_proxy,0.625
microstructure,order_imbalance,0.3333333333333333
microstructure,impact_decay,0.6231557813552141
stylized_facts,tail_fit,0.5
stylized_facts,volatility_clustering,0.6231557813552141
stylized_facts,volume_autocorr,0.9892684579339883
stylized_facts,herding_proxy,0.3333333333333333
stylized_facts,regime_switch_alignment,1.0
